id;title;author;publisher;publish_year;created_at;count
1;Handmade Cotton Table CSS;Mayotte Dynamic SAS;digital forecast Bahrain;98206;2020-08-24T17:32:54;99839
2;compress transmit Configuration;Director Concrete Center;Georgia generate;58450;2020-08-24T15:16:23;54638
3;connect Overpass toolset;architectures synthesizing Industrial;Cotton Representative software;94635;2020-08-25T03:04:26;26287
4;driver Delaware connecting;Games;Personal Loan Account bleeding-edge payment;19605;2020-08-25T04:49:44;8662
5;ivory Mouse;programming Licensed Plastic Bacon Consultant;Berkshire Developer orchestrate;73120;2020-08-24T20:07:23;45473
6;turn-key Australian Dollar;panel;transmitting grow;8529;2020-08-25T13:32:00;41486
7;Zambian Kwacha generate;Ports;syndicate;88395;2020-08-25T10:43:35;11906
8;e-business Czech Koruna back-end;Producer hard drive;mobile Product programming;62680;2020-08-25T00:46:53;341
9;Developer;Concrete next-generation task-force;channels;5681;2020-08-25T02:35:18;23973
10;Shoes parse world-class;Cocos (Keeling) Islands South Carolina;interface;30945;2020-08-24T22:53:50;40862
