id;object_type;object_name;stat_type;stat_value
1;AUTHOR;connect Bahamian Dollar;hybrid;hacking fuchsia
2;AUTHOR;application;HDD firewall;Mouse USB
3;GLOBAL;back up Buckinghamshire;Wooden Shoes calculating;black facilitate driver
4;AUTHOR;Direct Fantastic Cotton Gloves;Grocery;Granite
5;AUTHOR;Accountability;Frozen;payment
6;GLOBAL;platforms global;National program;Supervisor firmware withdrawal
7;PUBLISHER;payment invoice synthesize;payment;Intelligent copy Officer
8;PUBLISHER;support;magenta;recontextualize Ergonomic
9;GLOBAL;Reverse-engineered Cotton;backing up;Borders Congo
10;AUTHOR;Automotive Planner HDD;hacking;Balanced
